text,label
Beasiswa untuk Indonesia Maju . <hashtag> <hashtag> <hashtag> <link>,0
Indonesia penuh keberagaman <hashtag>,0
Saya bukan siapa2 Saya kuliah di Muhammadiyah tapi mahasiswa/i nya (maaf) masih ada yang belum sholat . Beberapa teman2 saya ada yg NU sekali lagi (maaf) dari mereka ada yang suka menjustifikasi kalau selain NU berarti salah <hashtag> Jadi sikap saya seharusnya bagaimana?,0
<username> Soalnya mo dpt g jd mas bro ... ðŸ¤£ðŸ¤£ <hashtag> <hashtag>,0
ada yang lebih seram di malam jumat dari chat mantan yang minta maaf dan menyesal ingin balikan ? <hashtag>,0
<username> Selamat min aku mau juga dong menang : <hashtag>,0
Mbokan lah sibuk kaya pejabat <link>,0
<hashtag> Menjadi Benteng yg memandu Milenial untuk Secara cerdas dan bijak Menggunakan media internet dan media sosial .,0
Mari kita dukung terus kerja nyata pak jokowi <username> <hashtag>,0
Gubernur Walikota dan ..... itu pejabat keritiklah ia saat menjabat,0
<username> <username> Gak nangka ðŸ˜†,0
Ayo tanam persatuan selagi masih damai dan aman :) <username> <username> <username> <username> <username> <username> <username> <hashtag> <link>,0
dalam kapitalisme dg sistem demokrasinya ... kebohongan adalah keniscayaan..,0
Org hebat lihat masalah sbg cobaan utk bikin dia lebih kuat . Org gagal lihat masa lalu &amp; selalu menghindari masalah .,0
<username> ga ada yg salah ko dengan mereka bilang <hashtag> lagi pula siapa juga yg memuji sampai sebegitu tinggi ah itu hanya perasaan mu saja kali ..slow ajalah ga usah gusar pak Prabowo masih tau ko posisi dia dimana tenang aja tenang .,0
When dana anggaran Ormas lancar lidah pun dapat berlipat ganda . Dan bisa-bisa nya ada hesteg <hashtag> smcm ini . Hadehh negara dpt berkembang saat kedewasaan pd masyarakat nya tercapai . Nah ini? Pantes negara ini stagnan :) <link>,0
Kenapa <hashtag> .. Aku kasih ini aja deh <link>,0
Nangissss apotek banjir ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­,0
<username> emak emak rusuh..<hashtag> <hashtag> <hashtag> <hashtag>,0
Awas kampret teriak kriminalisasi ... Udah ketangkep basah woiiiii <hashtag>,0
